task_id,seed,m,estimate,workers,time
416,0x9747b42c,1024,282012.28334545647,16,17.926255464553833
417,0x9747b42d,1024,281687.97991067136,16,18.1332049369812
330,0x9747b3d6,1024,284167.4242393215,16,18.192380905151367
420,0x9747b430,1024,298059.65523362847,16,14.35464072227478
421,0x9747b431,1024,278582.5162855577,16,18.13726305961609
424,0x9747b434,1024,289892.8708997336,16,14.235376834869385
423,0x9747b433,1024,283733.5210650714,16,17.92370581626892
428,0x9747b438,1024,292007.53284717054,16,14.289746522903442
427,0x9747b437,1024,288774.2844285195,16,14.354082107543945
426,0x9747b436,1024,296245.7914889741,16,17.792060613632202
430,0x9747b43a,1024,289065.8297347973,16,17.96724843978882
429,0x9747b439,1024,284554.91862367117,16,18.072043418884277
434,0x9747b43e,1024,284207.4363080828,16,14.533222913742065
432,0x9747b43c,1024,290456.4850149783,16,18.022099256515503
435,0x9747b43f,1024,297347.38664511207,16,14.037740707397461
433,0x9747b43d,1024,276764.3752020424,16,18.06569766998291
436,0x9747b440,1024,281688.4055758331,16,17.813026428222656
438,0x9747b442,1024,286344.0626375297,16,17.77200698852539
437,0x9747b441,1024,300088.9521762126,16,18.26963186264038
441,0x9747b445,1024,271547.8430802479,16,14.2302405834198
443,0x9747b447,1024,276510.1323545043,16,14.057646036148071
442,0x9747b446,1024,289936.26243372425,16,14.170689821243286
440,0x9747b444,1024,290086.6949839677,16,18.34731960296631
418,0x9747b42e,1024,286145.74904796906,16,18.285356998443604
332,0x9747b3d8,1024,280355.84596405353,16,18.225545644760132
447,0x9747b44b,1024,284726.5994461508,16,14.18144178390503
444,0x9747b448,1024,278311.8279731539,16,18.036607265472412
446,0x9747b44a,1024,285975.475705048,16,17.884135723114014
445,0x9747b449,1024,290450.41528240836,16,17.83911895751953
448,0x9747b44c,1024,270321.64697035414,16,14.2066068649292
425,0x9747b435,1024,288485.95281689573,16,14.216152906417847
422,0x9747b432,1024,276049.3996408663,16,17.820453643798828
452,0x9747b450,1024,276153.12791553844,16,14.421393394470215
450,0x9747b44e,1024,275312.0829238024,16,17.87005066871643
